iter	Logloss
0	0.6864288526
1	0.6796685196
2	0.6728013178
3	0.6664657562
4	0.6601230074
5	0.6539960539
6	0.6477816364
7	0.6420494894
8	0.6363244481
9	0.6308948877
10	0.6255982569
11	0.6202075004
12	0.6154365487
13	0.6105347892
14	0.6057547347
15	0.6011015299
16	0.5964704737
17	0.5921617128
18	0.58774592
19	0.5839649824
20	0.58008216
21	0.5760077487
22	0.5721619951
23	0.5683492755
24	0.5647449426
25	0.5612801923
26	0.5579072031
27	0.5547853863
28	0.5518950472
29	0.5488052639
30	0.5456806271
31	0.5425954755
32	0.5396187426
33	0.5367571654
34	0.5338564044
35	0.5312691217
36	0.528716671
37	0.5262419878
38	0.523721663
39	0.5211180163
40	0.5187544978
41	0.5164476338
42	0.5144635759
43	0.5122802476
44	0.5102301823
45	0.5081874861
46	0.5061905893
47	0.5040436098
48	0.5019673743
49	0.5002172009
50	0.4983710625
51	0.496554898
52	0.4948687513
53	0.4930530871
54	0.4913972458
55	0.4897879163
56	0.4882063711
57	0.4866906678
58	0.4851639439
59	0.4836030751
60	0.4821489683
61	0.4806981627
62	0.4795039737
63	0.4782092933
64	0.4768904888
65	0.4756935371
66	0.4744888803
67	0.473271752
68	0.4720668738
69	0.4708838814
70	0.469695368
71	0.4686204765
72	0.4675369712
73	0.4664347569
74	0.46539292
75	0.4644055261
76	0.4634628839
77	0.4625711571
78	0.461584143
79	0.4605161301
80	0.4596755984
81	0.4587530999
82	0.4579055086
83	0.4570514724
84	0.4560737606
85	0.4551895589
86	0.4543336831
87	0.4534696739
88	0.4526995899
89	0.4519285078
90	0.4512959071
91	0.4504904773
92	0.4498224458
93	0.4491013781
94	0.4483561411
95	0.4477477863
96	0.4470521451
97	0.446349103
98	0.4457388023
99	0.4450977988
100	0.4444425203
101	0.4438242793
102	0.4431503371
103	0.442616931
104	0.4421315222
105	0.4415087423
106	0.4409889866
107	0.4406194936
108	0.4400378845
109	0.4394505551
110	0.4388524052
111	0.4382831417
112	0.437678059
113	0.4371627232
114	0.4366548377
115	0.43613421
116	0.435685591
117	0.4351941735
118	0.4347595412
119	0.4343756979
120	0.4339045723
121	0.4335343232
122	0.4331060348
123	0.4326568417
124	0.4321893973
125	0.4317909955
126	0.4313846664
127	0.4310348321
128	0.4306982081
