iter	Passed	Remaining
0	4	2390
1	8	2201
2	12	2140
3	17	2136
4	21	2162
5	25	2140
6	30	2146
7	34	2141
8	38	2112
9	42	2101
10	47	2101
11	51	2107
12	55	2095
13	59	2081
14	64	2076
15	68	2070
16	72	2061
17	76	2048
18	80	2047
19	84	2037
20	88	2029
21	92	2018
22	96	2008
23	101	2010
24	105	2005
25	109	1999
26	113	1994
27	117	1988
28	121	1978
29	126	1981
30	131	1987
31	135	1978
32	139	1971
33	143	1965
34	147	1956
35	150	1941
36	154	1936
37	158	1931
38	163	1927
39	167	1925
40	171	1923
41	175	1916
42	178	1898
43	183	1898
44	187	1894
45	191	1892
46	196	1889
47	200	1891
48	205	1888
49	209	1883
50	213	1880
51	217	1877
52	222	1874
53	226	1870
54	230	1865
55	234	1859
56	238	1856
57	243	1854
58	247	1851
59	252	1849
60	256	1844
61	260	1841
62	264	1835
63	268	1831
64	272	1826
65	277	1822
66	280	1815
67	284	1810
68	288	1804
69	292	1799
70	297	1795
71	301	1791
72	305	1787
73	309	1784
74	314	1780
75	318	1776
76	323	1775
77	327	1771
78	331	1767
79	336	1764
80	340	1760
81	344	1755
82	348	1752
83	352	1747
84	357	1744
85	361	1739
86	365	1737
87	370	1733
88	374	1729
89	379	1726
90	383	1721
91	387	1717
92	391	1712
93	396	1712
94	400	1708
95	404	1703
96	409	1701
97	413	1696
98	417	1691
99	421	1687
100	426	1683
101	430	1680
102	434	1676
103	439	1674
104	444	1672
105	449	1670
106	454	1668
107	458	1664
108	462	1659
109	467	1656
110	471	1652
111	475	1648
112	480	1644
113	484	1641
114	489	1637
115	493	1633
116	497	1628
117	501	1624
118	506	1621
119	510	1617
120	515	1613
121	519	1609
122	523	1605
123	528	1601
124	532	1598
125	537	1594
126	541	1591
127	546	1589
128	550	1584
129	555	1580
130	559	1576
131	564	1573
132	568	1569
133	573	1565
134	577	1560
135	582	1559
136	587	1556
137	591	1552
138	597	1550
139	601	1547
140	606	1545
141	611	1542
142	616	1539
143	620	1534
144	625	1531
145	631	1530
146	635	1525
147	639	1520
148	644	1517
149	649	1514
150	653	1511
151	659	1509
152	665	1508
153	670	1506
154	672	1497
155	677	1494
156	682	1491
157	687	1488
158	692	1484
159	697	1481
160	701	1476
161	705	1472
162	709	1466
163	713	1462
164	718	1458
165	722	1453
166	727	1451
167	732	1446
168	736	1442
169	741	1438
170	746	1436
171	750	1431
172	755	1427
173	760	1425
174	765	1421
175	769	1417
176	775	1414
177	780	1411
178	784	1406
179	789	1403
180	794	1399
181	798	1395
182	802	1390
183	808	1387
184	812	1383
185	816	1379
186	821	1375
187	826	1372
188	830	1367
189	835	1362
190	840	1360
191	844	1354
192	848	1349
193	852	1344
194	857	1341
195	862	1337
196	866	1332
197	871	1329
198	875	1324
199	880	1320
200	885	1317
201	890	1314
202	895	1310
203	900	1306
204	906	1304
205	911	1300
206	916	1297
207	922	1295
208	927	1291
209	932	1287
210	938	1285
211	943	1281
212	948	1277
213	953	1274
214	958	1271
215	963	1267
216	969	1264
217	974	1260
218	979	1256
219	984	1253
220	989	1249
221	994	1245
222	999	1241
223	1004	1237
224	1008	1233
225	1014	1229
226	1019	1226
227	1025	1222
228	1030	1219
229	1035	1215
230	1041	1212
231	1046	1208
232	1051	1204
233	1057	1201
234	1062	1198
235	1067	1194
236	1073	1190
237	1081	1190
238	1086	1186
239	1091	1182
240	1096	1178
241	1101	1174
242	1107	1171
243	1113	1168
244	1119	1164
245	1124	1160
246	1129	1157
247	1135	1153
248	1140	1149
249	1147	1147
250	1152	1143
251	1157	1139
252	1162	1135
253	1167	1131
254	1173	1127
255	1178	1122
256	1183	1118
257	1188	1114
258	1193	1110
259	1198	1106
260	1203	1102
261	1208	1098
262	1213	1093
263	1218	1089
264	1223	1085
265	1228	1081
266	1233	1076
267	1238	1072
268	1242	1067
269	1247	1063
270	1252	1058
271	1256	1053
272	1261	1049
273	1266	1044
274	1270	1039
275	1275	1035
276	1280	1031
277	1285	1026
278	1290	1022
279	1295	1017
280	1299	1012
281	1304	1008
282	1309	1003
283	1313	999
284	1318	994
285	1322	989
286	1326	984
287	1331	980
288	1335	975
289	1340	970
290	1344	965
291	1347	960
292	1352	955
293	1357	951
294	1361	946
295	1365	940
296	1370	936
297	1374	932
298	1379	927
299	1384	922
300	1388	917
301	1393	913
302	1398	908
303	1402	904
304	1407	899
305	1412	895
306	1416	890
307	1421	885
308	1426	881
309	1430	876
310	1434	871
311	1440	867
312	1444	863
313	1449	858
314	1454	853
315	1458	849
316	1463	844
317	1467	839
318	1472	835
319	1477	830
320	1481	826
321	1486	821
322	1491	817
323	1495	812
324	1500	807
325	1504	803
326	1509	798
327	1513	793
328	1518	788
329	1522	784
330	1526	779
331	1532	775
332	1537	770
333	1542	766
334	1547	762
335	1552	757
336	1557	753
337	1561	748
338	1565	743
339	1570	739
340	1575	734
341	1579	729
342	1583	724
343	1588	720
344	1592	715
345	1597	711
346	1602	706
347	1607	702
348	1611	697
349	1616	692
350	1620	687
351	1625	683
352	1630	678
353	1635	674
354	1640	670
355	1645	665
356	1650	661
357	1655	656
358	1659	651
359	1664	647
360	1668	642
361	1673	637
362	1677	633
363	1682	628
364	1687	623
365	1691	619
366	1695	614
367	1700	609
368	1705	605
369	1709	600
370	1714	596
371	1718	591
372	1723	586
373	1727	582
374	1732	577
375	1737	572
376	1741	568
377	1746	563
378	1751	559
379	1755	554
380	1760	549
381	1765	545
382	1769	540
383	1774	536
384	1779	531
385	1784	527
386	1788	522
387	1792	517
388	1797	512
389	1801	508
390	1806	503
391	1810	498
392	1814	494
393	1819	489
394	1830	486
395	1835	481
396	1839	477
397	1844	472
398	1848	467
399	1853	463
400	1857	458
401	1862	453
402	1866	449
403	1871	444
404	1875	439
405	1879	435
406	1883	430
407	1888	425
408	1892	421
409	1896	416
410	1900	411
411	1905	406
412	1908	402
413	1912	397
414	1916	392
415	1920	387
416	1924	383
417	1928	378
418	1932	373
419	1937	368
420	1941	364
421	1945	359
422	1949	354
423	1953	350
424	1957	345
425	1961	340
426	1965	336
427	1970	331
428	1975	326
429	1980	322
430	1985	317
431	1989	313
432	1994	308
433	1998	303
434	2002	299
435	2007	294
436	2013	290
437	2017	285
438	2022	281
439	2028	276
440	2032	271
441	2036	267
442	2042	262
443	2046	258
444	2050	253
445	2055	248
446	2073	245
447	2078	241
448	2083	236
449	2089	232
450	2094	227
451	2098	222
452	2103	218
453	2108	213
454	2113	208
455	2118	204
456	2124	199
457	2128	195
458	2132	190
459	2137	185
460	2142	181
461	2147	176
462	2151	171
463	2157	167
464	2161	162
465	2166	158
466	2170	153
467	2174	148
468	2179	144
469	2183	139
470	2188	134
471	2192	130
472	2196	125
473	2200	120
474	2205	116
475	2209	111
476	2214	106
477	2218	102
478	2223	97
479	2227	92
480	2231	88
481	2235	83
482	2239	78
483	2244	74
484	2248	69
485	2253	64
486	2257	60
487	2261	55
488	2265	50
489	2269	46
490	2273	41
491	2278	37
492	2282	32
493	2286	27
494	2290	23
495	2294	18
496	2299	13
497	2303	9
498	2307	4
499	2311	0
